country,country_isocode,year,pop,xrat,currency_unit,ppp,tcgdp,cgdp,cgdp2,cda2,cc,cg,ci,p,p2,pc,pg,pi,openc,cgnp,y,y2,rgdpl,rgdpl2,rgdpch,kc,kg,ki,openk,rgdpeqa,rgdpwok,rgdpl2wok,rgdpl2pe,rgdpl2te,rgdpl2th,rgdptt,serialid
Afghanistan,AFG,1950,8150.368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Afghanistan,AFG,1951,8284.473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Afghanistan,AFG,1952,8425.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
Afghanistan,AFG,1953,8573.217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
Afghanistan,AFG,1954,8728.408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
Afghanistan,AFG,1955,8891.209,0.0168,Afghani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
Afghanistan,AFG,1956,9061.938,0.02,Afghani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
Afghanistan,AFG,1957,9240.934,0.02,Afghani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
Afghanistan,AFG,1958,9428.556,0.02,Afghani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
Afghanistan,AFG,1959,9624.606,0.02,Afghani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
Afghanistan,AFG,1960,9829.45,0.02,Afghani,,,,,,,,,,,,,,,102.06610182,,,,,,,,,,,,,,,,,11
Afghanistan,AFG,1961,10043.473,0.02,Afghani,,,,,,,,,,,,,,,102.02429459,,,,,,,,,,,,,,,,,12
Afghanistan,AFG,1962,10267.083,0.02,Afghani,,,,,,,,,,,,,,,102.0325234,,,,,,,,,,,,,,,,,13
Afghanistan,AFG,1963,10500.711,0.0351783295,Afghani,,,,,,,,,,,,,,,102.0710004,,,,,,,,,,,,,,,,,14
Afghanistan,AFG,1964,10744.167,0.045,Afghani,,,,,,,,,,,,,,,101.94443936,,,,,,,,,,,,,,,,,15
Afghanistan,AFG,1965,10997.885,0.045,Afghani,,,,,,,,,,,,,,,101.98675898,,,,,,,,,,,,,,,,,16
Afghanistan,AFG,1966,11262.324,0.045,Afghani,,,,,,,,,,,,,,,102.06349333,,,,,,,,,,,,,,,,,17
Afghanistan,AFG,1967,11537.966,0.045,Afghani,,,,,,,,,,,,,,,102.12482845,,,,,,,,,,,,,,,,,18
Afghanistan,AFG,1968,11825.32,0.045,Afghani,,,,,,,,,,,,,,,102.10355443,,,,,,,,,,,,,,,,,19
Afghanistan,AFG,1969,12122.74,0.045,Afghani,,,,,,,,,,,,,,,102.05046789,,,,,,,,,,,,,,,,,20
Afghanistan,AFG,1970,12430.623,0.0449984271,Afghani,0.0309324894,2544.1587608,204.66864459,217.070672,221.5996694,87.916222572,6.7679835709,7.4022099354,68.741268188,67.102979476,73.3262136,29.619365652,50.740000422,21.728109542,102.03316963,4.0944112107,4.3425146765,861.12603588,876.19899148,858.01390121,87.201813107,6.8749717101,7.2829423049,11.400790813,1081.4242213,2573.7575037,2628.306751,,,,855.02843966,21
Afghanistan,AFG,1971,12749.385,0.0449984271,Afghani,0.0297171643,2772.7081595,217.47779673,233.17421451,244.8035188,89.119677903,7.4808930164,8.386817723,66.040451307,64.44854289,71.537813211,28.417608089,43.002991021,27.063138834,102.06310392,4.0558290748,4.3485577512,881.32353591,895.22285886,878.05640486,87.429643415,7.3914392778,8.1369003203,16.542792551,1107.6788414,2638.9260065,2690.5183663,,,,864.05524335,22
